               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074006,             0.02453,            0.027727,             0.78806,             0.36145,             0.37319,             0.16631,            0.029886,           0.0084426,            0.010703,             0.07008,           0.0033245,           0.0033245
                   1,            0.052164,            0.017561,            0.018525,             0.44876,             0.68144,             0.55724,             0.22609,            0.029812,           0.0070351,           0.0093264,            0.039948,            0.006526,            0.006526
                   2,            0.048005,            0.015334,            0.015927,              0.6312,             0.73495,              0.6901,             0.31933,            0.025927,           0.0067031,           0.0075179,           0.0096839,           0.0095955,           0.0095955
                   3,            0.043887,            0.014773,            0.015521,              0.6648,             0.73127,             0.68214,             0.37625,             0.02167,           0.0069443,           0.0080338,            0.009406,            0.009406,            0.009406
                   4,             0.04071,            0.014295,            0.014368,             0.66898,              0.7402,              0.7318,             0.39925,            0.021216,            0.006587,           0.0065633,            0.009406,            0.009406,            0.009406
                   5,            0.039525,            0.013847,            0.014038,             0.74107,             0.78423,             0.78204,             0.48087,            0.018584,           0.0062682,           0.0061146,            0.009208,            0.009208,            0.009208
                   6,            0.036511,            0.013392,            0.013309,              0.7559,              0.7934,             0.79819,             0.51421,            0.017137,           0.0059725,           0.0057404,             0.00901,             0.00901,             0.00901
                   7,            0.036129,            0.012931,            0.012691,             0.79546,               0.801,             0.83893,             0.54517,             0.01673,           0.0057629,           0.0047169,            0.008812,            0.008812,            0.008812
                   8,            0.034677,            0.012286,            0.012457,             0.82939,             0.83076,             0.87476,             0.59442,            0.014294,           0.0053343,           0.0047424,            0.008614,            0.008614,            0.008614
                   9,             0.03343,            0.012537,            0.012245,             0.83541,             0.81025,             0.87131,             0.56971,            0.014974,           0.0054912,           0.0042628,            0.008416,            0.008416,            0.008416
                  10,            0.033255,            0.012235,             0.01166,             0.82203,             0.81697,              0.8623,             0.54297,             0.01651,            0.005407,           0.0041787,            0.008218,            0.008218,            0.008218
                  11,            0.033308,              0.0123,            0.011553,             0.86038,             0.84817,             0.90529,             0.64172,            0.013606,           0.0051177,            0.003579,             0.00802,             0.00802,             0.00802
                  12,            0.031071,            0.011767,            0.010959,             0.88219,              0.8474,             0.90908,             0.64877,             0.01316,           0.0050898,           0.0038619,            0.007822,            0.007822,            0.007822
                  13,            0.031191,            0.011678,             0.01087,             0.89819,             0.84964,             0.91756,             0.65253,            0.012745,           0.0050166,           0.0040315,            0.007624,            0.007624,            0.007624
                  14,            0.029844,            0.011736,            0.010697,             0.89999,             0.86034,              0.9244,             0.66895,            0.012944,           0.0048976,           0.0032028,            0.007426,            0.007426,            0.007426
                  15,             0.03009,            0.011269,            0.010757,             0.93265,             0.86391,             0.93644,             0.67472,            0.012287,           0.0047754,           0.0028339,            0.007228,            0.007228,            0.007228
                  16,            0.028538,            0.011199,            0.010368,              0.8926,             0.84486,             0.91799,             0.68261,            0.011644,           0.0047181,           0.0036962,             0.00703,             0.00703,             0.00703
                  17,            0.028561,            0.011122,           0.0099864,             0.90685,              0.8854,             0.93219,              0.6822,            0.011171,           0.0047046,           0.0028847,            0.006832,            0.006832,            0.006832
                  18,            0.027889,            0.010834,           0.0096108,             0.92505,             0.88393,             0.93998,             0.69299,            0.011294,           0.0045431,           0.0027196,            0.006634,            0.006634,            0.006634
                  19,            0.027915,             0.01101,           0.0095318,             0.91442,             0.88925,             0.93271,             0.71297,            0.011129,           0.0044556,           0.0030328,            0.006436,            0.006436,            0.006436
                  20,            0.027207,            0.010675,           0.0091647,             0.92903,             0.89957,             0.94663,             0.70573,            0.010954,           0.0043642,           0.0023938,            0.006238,            0.006238,            0.006238
                  21,            0.027201,            0.010615,           0.0095567,             0.93042,             0.90547,             0.95215,             0.72623,            0.010531,           0.0043713,           0.0026297,             0.00604,             0.00604,             0.00604
                  22,            0.026727,            0.010529,           0.0092525,             0.93678,             0.89417,             0.94791,             0.73265,            0.010309,           0.0042718,           0.0023394,            0.005842,            0.005842,            0.005842
                  23,            0.026248,             0.01031,           0.0091854,             0.94078,             0.89622,             0.95441,             0.73965,            0.010402,           0.0042376,           0.0024041,            0.005644,            0.005644,            0.005644
                  24,            0.025922,            0.010363,           0.0088819,              0.9455,             0.91089,             0.95988,             0.75495,           0.0099996,           0.0041858,           0.0022034,            0.005446,            0.005446,            0.005446
                  25,            0.025261,            0.010167,           0.0089245,             0.95271,             0.90883,             0.96083,             0.76324,           0.0098899,           0.0040585,           0.0020529,            0.005248,            0.005248,            0.005248
                  26,            0.025367,            0.010064,           0.0084747,             0.94276,             0.91885,             0.96252,             0.75941,           0.0098203,           0.0040766,           0.0021008,             0.00505,             0.00505,             0.00505
                  27,            0.024365,           0.0098633,            0.008768,             0.94011,             0.91476,             0.96188,             0.75496,           0.0098878,           0.0040458,           0.0019654,            0.004852,            0.004852,            0.004852
                  28,            0.024508,            0.009844,           0.0083669,             0.94992,             0.92046,              0.9661,             0.77016,           0.0096032,           0.0040404,           0.0019645,            0.004654,            0.004654,            0.004654
                  29,            0.024134,           0.0097797,           0.0077987,             0.96069,             0.92698,             0.97132,             0.78268,           0.0093298,            0.003862,           0.0018556,            0.004456,            0.004456,            0.004456
                  30,            0.023415,           0.0093864,           0.0081309,             0.95057,             0.92768,             0.96755,             0.79096,           0.0091072,           0.0038045,           0.0018892,            0.004258,            0.004258,            0.004258
                  31,            0.023749,           0.0095427,           0.0087413,             0.96012,             0.92853,             0.97126,             0.79536,           0.0089314,           0.0037643,           0.0017255,             0.00406,             0.00406,             0.00406
                  32,            0.023454,           0.0093201,           0.0082969,             0.94726,             0.91883,             0.96285,             0.78335,           0.0092886,           0.0038947,           0.0019367,            0.003862,            0.003862,            0.003862
                  33,            0.023264,           0.0094548,           0.0084468,             0.95159,             0.92469,             0.96929,             0.78862,           0.0089092,           0.0037451,           0.0018535,            0.003664,            0.003664,            0.003664
                  34,            0.022159,           0.0092217,           0.0076405,              0.9564,             0.93814,             0.97417,             0.80581,           0.0086829,           0.0036761,           0.0016984,            0.003466,            0.003466,            0.003466
                  35,             0.02249,           0.0091629,            0.008363,              0.9721,             0.93218,             0.97548,             0.80412,           0.0084757,           0.0036367,             0.00162,            0.003268,            0.003268,            0.003268
                  36,            0.022253,           0.0088892,             0.00678,             0.97123,              0.9316,              0.9776,             0.80536,           0.0084388,           0.0035742,            0.001602,             0.00307,             0.00307,             0.00307
                  37,            0.022024,           0.0090941,           0.0077059,             0.97303,              0.9447,             0.97914,             0.82354,           0.0082847,           0.0035277,           0.0015274,            0.002872,            0.002872,            0.002872
                  38,            0.021845,           0.0088822,           0.0074352,             0.96819,             0.93247,             0.97668,             0.81769,           0.0081463,           0.0035332,           0.0016103,            0.002674,            0.002674,            0.002674
                  39,             0.02118,            0.008787,           0.0069716,              0.9705,             0.93962,             0.97714,             0.82258,           0.0079689,           0.0034716,           0.0014572,            0.002476,            0.002476,            0.002476
                  40,            0.020946,           0.0086118,           0.0071122,             0.97322,             0.93881,             0.97999,              0.8258,           0.0080224,           0.0034975,            0.001449,            0.002278,            0.002278,            0.002278
                  41,            0.020695,           0.0086682,           0.0073775,             0.96691,             0.94878,             0.97964,             0.83194,             0.00782,           0.0034428,            0.001398,             0.00208,             0.00208,             0.00208
                  42,            0.020425,           0.0085156,           0.0066123,             0.97657,             0.94795,             0.98193,             0.83492,           0.0077311,           0.0033951,           0.0014132,            0.001882,            0.001882,            0.001882
                  43,            0.020472,            0.008427,           0.0074708,             0.97502,             0.94783,             0.98208,             0.83793,           0.0077044,           0.0033683,           0.0014352,            0.001684,            0.001684,            0.001684
                  44,            0.019675,           0.0082786,           0.0071456,             0.97485,             0.95394,             0.98272,             0.84209,           0.0075425,           0.0033038,            0.001355,            0.001486,            0.001486,            0.001486
